tag_id,tags
1,funny
2,highly quotable
3,will ferrell
4,boxing story
5,mma
6,tom hardy
7,drug
8,leonardo dicaprio
9,martin scorsese
10,way too long
11,al pacino
12,gangster
13,mafia
14,holocaust
15,true story
16,twist ending
17,anthony hopkins
18,courtroom drama
19,britpop
20,indie record label
21,music
22,dumpster diving
23,sustainability
24,romantic comedy
25,wedding
26,painter
27,bloody
28,black hole
29,sci-fi
30,time-travel
31,fantasy
32,magic board game
33,robin williams
34,beautiful scenery
35,epic
36,historical
37,inspirational
38,medieval
39,mel gibson
40,oscar (best cinematography)
41,revenge
42,sword fight
43,black comedy
44,christina ricci
45,christopher lloyd
46,dark comedy
47,family
48,gothic
49,andy garcia
50,classic
51,francis ford coppola
52,quirky
53,macaulay culkin
54,sequel
55,animation
56,disney
57,original
58,pixar
59,tom hanks
60,ancient rome
61,history
62,imdb top 250
63,rome
64,russell crowe
65,ed harris
66,jude law
67,rachel weisz
68,sniper
69,world war ii
70,atmospheric
71,hilary swank
72,violent
73,dog
74,eric bana
75,mad scientist
76,marvel
77,captain nemo
78,comic book
79,peta wilson
80,sean connery
81,superhero
82,adventure
83,angelina jolie
84,heroine in tight suit
85,ensemble cast
86,fantasy world
87,great soundtrack
88,lord of the rings
89,scenic
90,stylized
91,tolkien
92,hilarious
93,steve carell
94,anime
95,cyberpunk
96,dark
97,matrix
98,jim carrey
99,meryl streep
100,adam sandler
101,sweet
102,british gangster
103,confusing
104,daniel craig
105,exquisite plotting.
106,organized crime
107,stylish
108,hayao miyazaki
109,studio ghibli
110,david thewlis
111,eva green
112,liam neeson
113,orlando bloom
114,chris evans
115,jessica alba
116,sexy female scientist
117,helena bonham carter
118,johnny depp
119,tim burton
120,visually appealing
121,clever
122,fast-paced dialogue
123,good dialogue
124,robert downey jr.
125,witty
126,audrey tautou
127,conspiracy theory
128,mystery
129,paris
130,treasure hunt
131,brad pitt
132,cate blanchett
133,multiple storylines
134,social commentary
135,ben stiller
136,emma thompson
137,maggie gyllenhaal
138,modern fantasy
139,romance
140,surreal
141,marion cotillard
142,africa
143,corruption
144,jennifer connelly
145,justice
146,bad acting
147,bad jokes
148,bad plot
149,ryan reynolds
150,lion
151,narnia
152,tilda swinton
153,bad script
154,charlize theron
155,will smith
156,anne hathaway
157,comedy
158,james franco
159,seth rogen
160,stoner movie
161,audience intelligence underestimated
162,boring
163,chick flick
164,overrated
165,teen movie
166,adrien brody
167,con artists
168,interesting characters
169,mark ruffalo
170,bill murray
171,emma stone
172,jesse eisenberg
173,woody harrelson
174,cgi
175,cheesy
176,dc
177,dc comics
178,space
179,happy ending
180,hot actress
181,justin timberlake
182,mila kunis
183,new york city
184,sex
185,istanbul
186,predictable
187,turkey
188,unnecessary sequel
189,action
190,christoph waltz
191,good soundtrack
192,great performances
193,humour
194,quentin tarantino
195,samuel l. jackson
196,soundtrack
197,western
198,amy adams
199,daniel radcliffe
200,zoe kazan
201,stupid but funny
202,anti-intellectual
203,bad writing
204,dystopia
205,new society
206,plot holes
207,scifi
208,unintelligent
209,seth macfarlane
210,post-apocalyptic
211,survival
212,thriller
213,unexplained
214,weak plot
215,dark hero
216,gun-fu
217,keanu reeves
218,secret society
219,dark humor
220,ironic
221,multiple short stories
222,short stories
223,bromance
224,dr. strange
225,great villain
226,guardians of the galaxy
227,mcu
228,thanos
229,thor
230,visually stunning
231,character
232,dialogue
233,humor
234,kurt russell
235,tension building
236,jennifer lawrence
237,love story
238,nonsense
239,politics
240,rebellion
241,revolution
242,ben kingsley
243,ethic
244,immortality
245,bad story
246,batman
247,ben affleck
248,harley quinn
249,harley quinn's ass
250,horrible directing
251,jared leto
252,joker
253,lack of plot
254,margot robbie
255,poor story
256,poorly paced
257,gal gadot
258,superman
259,wonderwoman
260,leonardo dicarpio
261,building a family
262,creative
263,freedom
264,good writing
265,individualism
266,viggo mortensen
267,gun tactics
268,hitman
269,future
270,interesting
271,jon hamm
272,thought provoking
273,dwayne johnson
274,rachel mcadams
275,alicia vikander
276,video game adaptation
277,josh brolin
278,sarcasm
279,emilia clarke
280,star wars
281,space action
282,non-linear
283,everything you want is here
284,classic sci-fi
285,engrossing adventure
286,nerd
287,stone age
288,killer
289,widows/widowers
290,kid
291,robot
292,murder
293,police
294,kevin costner
295,post apocalyptic
296,irreverent
297,jay and silent bob
298,kevin smith
299,satire
300,based on a book
301,brutal
302,controversial
303,goretastic
304,violence
305,alternate reality
306,science fiction
307,time travel
308,disturbing
309,great ending
310,mindfuck
311,surprise ending
312,suspense
313,cruel characters
314,brutality
315,threesome
316,sexual humor
317,embarassing scenes
318,offensive
319,r language
320,80's
321,crude humor
322,vulgar
323,sofia coppola
324,john cusack
325,ewan mcgregor
326,renee zellweger
327,jackie chan
328,kung fu
329,something for everyone in this one... saw it without and plan on seeing it with kids!
330,assassin
331,jean reno
332,assassin-in-training (scene)
333,espionage
334,robert ludlum
335,test tag
336,feel-good
337,fun family movie
338,very funny
339,black and white
340,christopher nolan
341,directorial debut
342,not linear
343,hugh jackman
344,nonlinear
345,psychology
346,alan rickman
347,harry potter
348,humorous
349,magic
350,insomnia
351,thought-provoking
352,amazing artwork
353,end of the world
354,mecha
355,gintama
356,remaster
357,space epic
358,cult film
359,dreamlike
360,hallucinatory
361,psychological
362,sentimental
363,memory
364,cinematography
365,india
366,oldie but goodie
367,big wave
368,surfing
369,ummarti2006
370,high school
371,notable nudity
372,moldy
373,old
374,moving
375,a clever chef rat
376,hope
377,mathematics
378,zombie
379,depressing
380,stupid
381,favelas
382,narrated
383,reciprocal spectator
384,documentary
385,henry darger
386,the catholic church is the most corrupt organization in history
387,childish naivity
388,friendship
389,bechdel test:fail
390,cartoon
391,child
392,computer animation
393,divorce
394,dream
395,narrative pisstake
396,american idolatry
397,coen brothers
398,jeff bridges
399,matt damon
400,celebrity fetishism
401,mediacentralism
402,system holism
403,city politics
404,italy
405,political right versus left
406,creature feature
407,music industry
408,remix culture
409,film history
410,poetic
411,representation of children
412,disney animated feature
413,oscar (best music - original score)
414,awesome
415,british comedy
416,knight
417,highschool
418,cult
419,boksdrama
420,stiller
421,wapendrama
422,sister
423,robots and androids
424,post-college
425,restaurant
426,transvestite
427,paul rudd
428,quotable
429,seen more than once
430,amazing cinematography
431,shakespeare
432,updated classics
433,bruce willis
434,ghost
435,android(s)/cyborg(s)
436,artificial intelligence
437,bittersweet
438,steven spielberg
439,bette davis
440,oscar (best actress)
441,lesbian subtext
442,undercover cop
443,christian bale
444,casey affleck
445,twist
446,ending
447,morgan freeman
448,political commentary
449,afghanistan
450,american propaganda
451,assassination
452,military
453,terrorism
454,tricky
455,addiction
456,heroin
457,mark wahlberg
458,nudity (full frontal)
459,cynical
460,independent film
461,space adventure
462,psychedelic
463,tarantino
464,apocalypse
465,arnold schwarzenegger
466,nuclear war
467,based on a true story
468,kidnapping
469,steve buscemi
470,edward norton
471,freedom of expression
472,monty python
473,emotional
474,jack nicholson
475,archaeology
476,indiana jones
477,alien
478,horror
479,space craft
480,space travel
481,alfred hitchcock
482,suspenseful
483,tense
484,special effects
485,masterpiece
486,stanley kubrick
487,juliette lewis
488,robert de niro
489,plot twist
490,mental illness
491,paranoid
492,goofy
493,creepy
494,paranoia
495,scary
496,snl
497,nicolas cage
498,martial arts
499,adult humor
500,free speech
501,parody
502,south park
503,trey parker
504,obsession
505,secret
506,serial killer
507,asylum
508,brittany murphy
509,mental hospital
510,winona ryder
511,claustrophobic
512,stephen king
513,scifi cult
514,david bowie
515,mindless one liners
516,jake gyllenhaal
517,high fantasy
518,mythology
519,wizard
520,samurai
521,rob zombie
522,powerful ending
523,schizophrenia
524,lesbian
525,modern war
526,based on a play
527,insanity
528,ptsd
529,claymation
530,dark fairy tale
531,psychological thriller
532,stranded
533,alter ego
534,illusion
